"COD_VAR";"LIB_VAR";"COD_MOD";"LIB_MOD"
"FREQ";"Fréquence";"A";"Annuel"
"POPREF_MEASURE";"Mesure";"PCAP";"Population comptée à part"
"POPREF_MEASURE";"Mesure";"PTOT";"Population totale"
"POPREF_MEASURE";"Mesure";"PMUN";"Population municipale"
"TIME_PERIOD";"Période temporelle";"2022";"2022"
"TIME_PERIOD";"Période temporelle";"2011";"2011"
"TIME_PERIOD";"Période temporelle";"2016";"2016"
"GEO";"Géographie";"011";"Belley"
"GEO";"Géographie";"012";"Bourg-en-Bresse"
"GEO";"Géographie";"013";"Gex"
"GEO";"Géographie";"014";"Nantua"
"GEO";"Géographie";"021";"Château-Thierry"
"GEO";"Géographie";"022";"Laon"
"GEO";"Géographie";"023";"Saint-Quentin"
"GEO";"Géographie";"024";"Soissons"
"GEO";"Géographie";"025";"Vervins"
"GEO";"Géographie";"031";"Montluçon"
"GEO";"Géographie";"032";"Moulins"
"GEO";"Géographie";"033";"Vichy"
"GEO";"Géographie";"041";"Barcelonnette"
"GEO";"Géographie";"042";"Castellane"
"GEO";"Géographie";"043";"Digne-les-Bains"
"GEO";"Géographie";"044";"Forcalquier"
"GEO";"Géographie";"051";"Briançon"
"GEO";"Géographie";"052";"Gap"
"GEO";"Géographie";"061";"Grasse"
"GEO";"Géographie";"062";"Nice"
"GEO";"Géographie";"071";"Largentière"
"GEO";"Géographie";"072";"Privas"
"GEO";"Géographie";"073";"Tournon-sur-Rhône"
"GEO";"Géographie";"081";"Charleville-Mézières"
"GEO";"Géographie";"082";"Rethel"
"GEO";"Géographie";"083";"Sedan"
"GEO";"Géographie";"084";"Vouziers"
"GEO";"Géographie";"091";"Foix"
"GEO";"Géographie";"092";"Pamiers"
"GEO";"Géographie";"093";"Saint-Girons"
"GEO";"Géographie";"101";"Bar-sur-Aube"
"GEO";"Géographie";"102";"Nogent-sur-Seine"
"GEO";"Géographie";"103";"Troyes"
"GEO";"Géographie";"111";"Carcassonne"
"GEO";"Géographie";"112";"Limoux"
"GEO";"Géographie";"113";"Narbonne"
"GEO";"Géographie";"121";"Millau"
"GEO";"Géographie";"122";"Rodez"
"GEO";"Géographie";"123";"Villefranche-de-Rouergue"
"GEO";"Géographie";"131";"Aix-en-Provence"
"GEO";"Géographie";"132";"Arles"
"GEO";"Géographie";"133";"Marseille"
"GEO";"Géographie";"134";"Istres"
"GEO";"Géographie";"141";"Bayeux"
"GEO";"Géographie";"142";"Caen"
"GEO";"Géographie";"143";"Lisieux"
"GEO";"Géographie";"144";"Vire"
"GEO";"Géographie";"151";"Aurillac"
"GEO";"Géographie";"152";"Mauriac"
"GEO";"Géographie";"153";"Saint-Flour"
"GEO";"Géographie";"161";"Angoulême"
"GEO";"Géographie";"162";"Cognac"
"GEO";"Géographie";"163";"Confolens"
"GEO";"Géographie";"171";"Jonzac"
"GEO";"Géographie";"172";"Rochefort"
"GEO";"Géographie";"173";"La Rochelle"
"GEO";"Géographie";"174";"Saintes"
"GEO";"Géographie";"175";"Saint-Jean-d'Angély"
"GEO";"Géographie";"181";"Bourges"
"GEO";"Géographie";"182";"Saint-Amand-Montrond"
"GEO";"Géographie";"183";"Vierzon"
"GEO";"Géographie";"191";"Brive-la-Gaillarde"
"GEO";"Géographie";"192";"Tulle"
"GEO";"Géographie";"193";"Ussel"
"GEO";"Géographie";"211";"Beaune"
"GEO";"Géographie";"212";"Dijon"
