latitude,longitude,size,data,data_size
41.25,9.25,0.5,1757.1884984025558,626.0
41.75,8.75,0.5,393.2623373007587,28734.0
41.75,9.25,0.5,492.7246131341905,12989.0
42.25,8.75,0.5,90.702947845805,6615.0
42.25,9.25,0.5,104.23905489923557,14390.0
42.75,0.25,0.5,136666.66666666666,30.0
42.75,0.75,0.5,1591.5119363395227,1131.0
42.75,1.25,0.5,1974.4483159117306,861.0
42.75,1.75,0.5,2342.834830144475,2561.0
42.75,2.25,0.5,8695.652173913044,805.0
42.75,2.75,0.5,69626.76962676963,777.0
42.75,3.25,0.5,9383.37801608579,1119.0
42.75,8.75,0.5,481.3782619711173,3947.0
42.75,9.25,0.5,35.89864766613349,220064.0
43.25,0.25,0.5,22174.288179465057,1159.0
43.25,0.75,0.5,1144.2307692307693,10400.0
43.25,1.25,0.5,446.14768632385744,34966.0
43.25,1.75,0.5,1325.1301467108376,21130.0
43.25,2.25,0.5,1360.073766712771,21690.0
43.25,2.75,0.5,4163.8683680322365,5956.0
43.25,3.25,0.5,1465.565059994745,34253.0
43.25,3.75,0.5,581.2788133894568,19956.0
43.25,4.75,0.5,1187.7172653534183,3452.0
43.25,5.25,0.5,939.8566765467301,159918.0
43.25,5.75,0.5,1493.4153098789327,52698.0
43.25,6.75,0.5,47115.38461538462,936.0
43.75,-1.25,0.5,2145.294978059483,14357.0
43.75,-0.75,0.5,809.8727342846124,5186.0
43.75,-0.25,0.5,1156.7922463654838,6397.0
43.75,0.25,0.5,208.98641588296763,5742.0
43.75,0.75,0.5,481.07991670855176,13927.0
43.75,1.25,0.5,455.9863659426103,461198.0
43.75,1.75,0.5,1149.4506951966225,45239.0
43.75,2.75,0.5,4516.640253565769,1262.0
43.75,3.25,0.5,1666.894384478754,7319.0
43.75,3.75,0.5,286.70817713958957,251824.0
43.75,4.25,0.5,424.5944322050871,149790.0
43.75,4.75,0.5,1067.6364486117805,68469.0
43.75,5.25,0.5,650.7524325000782,95889.0
43.75,5.75,0.5,1525.3767218267542,10817.0
43.75,6.25,0.5,7929.104477611941,1072.0
43.75,6.75,0.5,1004.3926755836336,40522.0
43.75,7.25,0.5,718.5826189059208,248684.0
43.75,7.75,0.5,5833.333333333333,120.0
44.25,-1.25,0.5,1568.9300411522636,3888.0
44.25,-0.75,0.5,1377.8322106552357,3266.0
44.25,-0.25,0.5,348.83720930232556,2580.0
44.25,0.25,0.5,763.3587786259542,7860.0
44.25,0.75,0.5,771.3884992987377,25668.0
44.25,1.25,0.5,5939.968404423381,3165.0
44.25,1.75,0.5,6804.979253112033,1205.0
44.25,2.25,0.5,4205.100379815519,3686.0
44.25,2.75,0.5,1620.6790440045133,9749.0
44.25,3.25,0.5,1130.342635111268,5662.0
44.25,3.75,0.5,1028.1719103434095,4863.0
44.25,4.25,0.5,608.7615053011767,34332.0
44.25,4.75,0.5,1206.3895201176313,29924.0
44.25,5.25,0.5,3558.5353274883964,1939.0
44.25,5.75,0.5,4356.72514619883,3420.0
44.25,6.25,0.5,2314.3973549744514,3327.0
44.25,6.75,0.5,6463.195691202872,1114.0
44.25,7.25,0.5,10833.333333333334,480.0
44.75,-1.25,0.5,467.3618306474725,45361.0
44.75,-0.75,0.5,298.00629590766,285900.0
44.75,-0.25,0.5,646.3149827564184,39145.0
44.75,0.25,0.5,474.26776901877844,15603.0
44.75,0.75,0.5,262.6395272488509,10661.0
44.75,1.25,0.5,1040.5136152313482,9034.0
44.75,1.75,0.5,1771.1171662125341,3670.0
44.75,2.25,0.5,1464.4615578841056,7921.0
44.75,2.75,0.5,2077.687443541102,2214.0
44.75,3.25,0.5,910.4103443726086,7579.0
44.75,3.75,0.5,952.914798206278,3568.0
44.75,4.25,0.5,1947.3571581425208,4673.0
44.75,4.75,0.5,1503.9003021855747,42689.0
44.75,5.25,0.5,537.2916856388307,10981.0
44.75,5.75,0.5,1007.6084721365413,4863.0
44.75,6.25,0.5,1588.4257385673814,9884.0
44.75,6.75,0.5,4613.733905579399,1864.0
45.25,-1.25,0.5,1802.4784078107398,2663.0
45.25,-0.75,0.5,1182.616266415149,13783.0
45.25,-0.25,0.5,1129.5180722891566,11952.0
45.25,0.25,0.5,331.23929183323816,8755.0
45.25,0.75,0.5,319.51743908265644,33488.0
45.25,1.25,0.5,2001.6881707464127,8293.0
45.25,1.75,0.5,530.2409794369961,23197.0
45.25,2.25,0.5,536.8647100930566,2794.0
45.25,2.75,0.5,948.6166007905139,1265.0
45.25,3.25,0.5,2465.0030432136336,3286.0
45.25,3.75,0.5,704.3691302572479,9796.0
45.25,4.25,0.5,671.82309484853,80676.0
45.25,4.75,0.5,963.6691574336512,38810.0
45.25,5.25,0.5,566.0919540229885,34800.0
45.25,5.75,0.5,675.0955403289618,118798.0
45.25,6.25,0.5,3013.8339920948615,4048.0
45.25,6.75,0.5,1030000.0000000001,10.0
45.75,-1.25,0.5,634.5495533105118,11977.0
45.75,-0.75,0.5,1046.7474105332383,18247.0
45.75,-0.25,0.5,458.43251344441506,11343.0
45.75,0.25,0.5,1579.7179625491253,12977.0
